Día,Atacante,Concello conquistado,Pertenecía a
814,A Mariña Oriental,Verín,A Mariña Oriental
815,A Mariña Oriental,Sarria,A Mariña Oriental
816,Terra De Caldelas,Betanzos,Terra De Caldelas
817,Viana,O Ribeiro,Viana
818,O Salnés,Caldas,O Salnés
819,A Mariña Oriental,Meira,A Mariña Oriental
820,Fisterra,Pontevedra,Fisterra
821,Ferrol,A Mariña Occidental,Ferrol
822,Ferrol,Terra Chá,Ferrol
823,Fisterra,O Morrazo,Fisterra
824,Ferrol,Betanzos,Ferrol
825,Fisterra,O Carballiño,Fisterra
826,O Salnés,Santiago,O Salnés
827,Fisterra,Vigo,Fisterra
828,Ferrol,A Mariña Central,Ferrol
829,A Mariña Oriental,Os Ancares,A Mariña Oriental
830,Ortegal,Terra De Caldelas,Ortegal
831,Ortegal,A Paradanta,Ortegal
832,Ortegal,Terra De Lemos,Ortegal
833,Viana,Vigo,Viana
834,Ortegal,Terra De Trives,Ortegal
835,Fisterra,O Ribeiro,Fisterra
836,Viana,A Paradanta,Viana
837,Terra De Caldelas,Chantada,Terra De Caldelas
838,Ortegal,A Paradanta,Ortegal
839,Terra De Caldelas,Lugo,Terra De Caldelas
840,Ferrol,Terra De Melide,Ferrol
841,O Salnés,A Coruña,O Salnés
842,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
843,Ferrol,A Mariña Occidental,Ferrol
844,Ortegal,Chantada,Ortegal
845,Ferrol,Meira,Ferrol
846,Fisterra,Caldas,Fisterra
847,Fisterra,O Sar,Fisterra
848,Fisterra,Santiago,Fisterra
849,A Mariña Oriental,Lugo,A Mariña Oriental
850,Terra De Caldelas,Lugo,Terra De Caldelas
851,A Mariña Oriental,Terra De Trives,A Mariña Oriental
852,Viana,Caldas,Viana
853,Ortegal,O Ribeiro,Ortegal
854,Ortegal,Vigo,Ortegal
855,Ortegal,Lugo,Ortegal
856,O Salnés,Santiago,O Salnés
857,Ferrol,Arzúa,Ferrol
858,Terra De Caldelas,Arzúa,Terra De Caldelas
859,Viana,Terra De Trives,Viana
860,Fisterra,Barbanza,Fisterra
861,Ortegal,O Condado,Ortegal
862,O Salnés,O Sar,O Salnés
863,Ferrol,Ordes,Ferrol
864,A Mariña Oriental,Lugo,A Mariña Oriental
865,O Salnés,Ordes,O Salnés
866,O Salnés,Deza,O Salnés
867,Fisterra,Deza,Fisterra
868,Terra De Caldelas,Chantada,Terra De Caldelas
869,Viana,Vigo,Viana
870,Ferrol,A Ulloa,Ferrol
871,Viana,Quiroga,Viana
872,O Salnés,Betanzos,O Salnés
873,Ortegal,Chantada,Ortegal
874,O Salnés,Terra De Melide,O Salnés
875,Ortegal,Sarria,Ortegal
876,Terra De Caldelas,Terra De Melide,Terra De Caldelas
877,A Mariña Oriental,Chantada,A Mariña Oriental
878,Fisterra,Terra De Melide,Fisterra
879,Terra De Caldelas,Ordes,Terra De Caldelas
880,Fisterra,O Sar,Fisterra
881,A Mariña Oriental,Quiroga,A Mariña Oriental
882,O Salnés,Arzúa,O Salnés
883,Viana,Pontevedra,Viana
884,Ferrol,Chantada,Ferrol
885,Ferrol,Ourense,Ferrol
886,O Salnés,Tabeirós-Terra De Montes,O Salnés
887,Ortegal,Quiroga,Ortegal
888,Ortegal,Lugo,Ortegal
889,A Mariña Oriental,Quiroga,A Mariña Oriental
890,Terra De Caldelas,Betanzos,Terra De Caldelas
891,O Salnés,Ordes,O Salnés
892,A Mariña Oriental,Lugo,A Mariña Oriental
893,A Mariña Oriental,Sarria,A Mariña Oriental
894,Ortegal,Ourense,Ortegal
895,Fisterra,A Ulloa,Fisterra
896,Viana,Tabeirós-Terra De Montes,Viana
897,Terra De Caldelas,Arzúa,Terra De Caldelas
898,Viana,A Paradanta,Viana
899,A Mariña Oriental,Terra De Lemos,A Mariña Oriental
900,A Mariña Oriental,Ourense,A Mariña Oriental
901,Terra De Caldelas,Deza,Terra De Caldelas
902,Fisterra,Betanzos,Fisterra
903,Ortegal,Ourense,Ortegal
904,Ortegal,Terra De Trives,Ortegal
905,Fisterra,Caldas,Fisterra
906,Terra De Caldelas,O Carballiño,Terra De Caldelas
907,Ferrol,A Ulloa,Ferrol
908,Ortegal,O Carballiño,Ortegal
909,A Mariña Oriental,Terra Chá,A Mariña Oriental
910,A Mariña Oriental,Terra De Caldelas,A Mariña Oriental
911,Terra De Caldelas,Ordes,Terra De Caldelas
912,A Mariña Oriental,Terra De Trives,A Mariña Oriental
913,Viana,O Ribeiro,Viana
914,Fisterra,Terra Chá,Fisterra
915,Fisterra,O Salnés,Fisterra
916,O Salnés,Arzúa,O Salnés
917,Terra De Caldelas,Chantada,Terra De Caldelas
918,Ortegal,O Ribeiro,Ortegal
919,O Salnés,Barbanza,O Salnés
920,Fisterra,A Mariña Central,Fisterra
921,Ortegal,Terra De Caldelas,Ortegal
922,Viana,Caldas,Viana
923,A Mariña Oriental,Meira,A Mariña Oriental
924,Ortegal,O Baixo Miño,Ortegal
925,Ferrol,Betanzos,Ferrol
926,O Salnés,Ordes,O Salnés
927,O Salnés,Betanzos,O Salnés
928,Terra De Caldelas,Terra De Melide,Terra De Caldelas
929,Ortegal,A Paradanta,Ortegal
930,A Mariña Oriental,Viana,A Mariña Oriental
931,Viana,Barbanza,Viana
932,Fisterra,Meira,Fisterra
933,Ferrol,A Mariña Central,Ferrol
934,Ferrol,Terra De Melide,Ferrol
935,Ferrol,Terra Chá,Ferrol
936,O Salnés,O Sar,O Salnés
937,A Mariña Oriental,Meira,A Mariña Oriental
938,Viana,Deza,Viana
939,Ferrol,Meira,Ferrol
940,Fisterra,Caldas,Fisterra
941,Ferrol,Betanzos,Ferrol
942,Fisterra,O Sar,Fisterra
943,A Mariña Oriental,Meira,A Mariña Oriental
944,Ortegal,Vigo,Ortegal
945,O Salnés,Tabeirós-Terra De Montes,O Salnés
946,A Mariña Oriental,Terra Chá,A Mariña Oriental
947,Terra De Caldelas,Sarria,Terra De Caldelas
948,Viana,A Ulloa,Viana
949,A Mariña Oriental,Sarria,A Mariña Oriental
950,Ferrol,Deza,Ferrol
951,Viana,Chantada,Viana
952,Fisterra,Pontevedra,Fisterra
953,Fisterra,Vigo,Fisterra
954,Ortegal,Terra De Lemos,Ortegal
955,Viana,Deza,Viana
956,O Salnés,O Sar,O Salnés
957,Ferrol,Terra Chá,Ferrol
958,Viana,Caldas,Viana
959,Viana,Lugo,Viana
960,Ferrol,Meira,Ferrol
961,Fisterra,Caldas,Fisterra
962,Fisterra,O Ribeiro,Fisterra
963,Ferrol,A Coruña,Ferrol
964,O Salnés,A Coruña,O Salnés
965,Ortegal,Tabeirós-Terra De Montes,Ortegal
966,Ferrol,Arzúa,Ferrol
967,A Mariña Oriental,Lugo,A Mariña Oriental
968,A Mariña Oriental,Meira,A Mariña Oriental
969,A Mariña Oriental,Terra De Lemos,A Mariña Oriental
970,Ortegal,Terra De Lemos,Ortegal
971,O Salnés,Barbanza,O Salnés
972,Viana,O Carballiño,Viana
973,Viana,Terra De Lemos,Viana
974,A Mariña Oriental,Terra De Caldelas,A Mariña Oriental
975,Viana,Santiago,Viana
976,Viana,Lugo,Viana
977,Fisterra,O Sar,Fisterra
978,Viana,Xallas,Viana
979,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
980,A Mariña Oriental,A Limia,A Mariña Oriental
981,Ortegal,O Ribeiro,Ortegal
982,Fisterra,Santiago,Fisterra
983,O Salnés,Xallas,O Salnés
984,Ortegal,O Carballiño,Ortegal
985,Ferrol,A Mariña Occidental,Ferrol
986,Fisterra,A Paradanta,Fisterra
987,Ortegal,Terra De Lemos,Ortegal
988,Ferrol,Santiago,Ferrol
989,Ferrol,A Mariña Oriental,Ferrol
990,A Mariña Oriental,Terra Chá,A Mariña Oriental
991,Ortegal,Chantada,Ortegal
992,O Salnés,O Sar,O Salnés
993,Ferrol,Terra Chá,Ferrol
994,A Mariña Oriental,Baixa Limia,A Mariña Oriental
995,O Salnés,Caldas,O Salnés
996,A Mariña Oriental,Terra De Lemos,A Mariña Oriental
997,Viana,Chantada,Viana
998,Fisterra,O Ribeiro,Fisterra
999,A Mariña Oriental,A Mariña Oriental,A Mariña Oriental
1000,O Salnés,Arzúa,O Salnés
1001,Ortegal,O Ribeiro,Ortegal
1002,Ferrol,Lugo,Ferrol
1003,Fisterra,O Ribeiro,Fisterra
1004,Viana,Lugo,Viana
1005,O Salnés,Santiago,O Salnés
1006,O Salnés,Tabeirós-Terra De Montes,O Salnés
1007,Ferrol,Ordes,Ferrol
1008,O Salnés,Ordes,O Salnés
1009,A Mariña Oriental,Ourense,A Mariña Oriental
1010,A Mariña Oriental,Allariz-Maceda,A Mariña Oriental
1011,A Mariña Oriental,A Mariña Central,A Mariña Oriental
1012,Ferrol,A Coruña,Ferrol
1013,A Mariña Oriental,Lugo,A Mariña Oriental
1014,Fisterra,O Carballiño,Fisterra
1015,Ferrol,Ordes,Ferrol
1016,Viana,O Carballiño,Viana
1017,O Salnés,Betanzos,O Salnés
1018,O Salnés,Ordes,O Salnés
1019,Viana,Tabeirós-Terra De Montes,Viana
1020,A Mariña Oriental,A Ulloa,A Mariña Oriental
1021,Viana,Terra De Melide,Viana
1022,Ortegal,Ourense,Ortegal
1023,A Mariña Oriental,Terra De Celanova,A Mariña Oriental
1024,Ortegal,Vigo,Ortegal
1025,O Salnés,Terra De Melide,O Salnés
1026,A Mariña Oriental,Terra Chá,A Mariña Oriental
1027,Viana,Terra De Lemos,Viana
1028,Viana,Quiroga,Viana
1029,Viana,Ourense,Viana
1030,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
1031,Viana,Terra De Caldelas,Viana
1032,Ortegal,Pontevedra,Ortegal
1033,O Salnés,Pontevedra,O Salnés
1034,A Mariña Oriental,Quiroga,A Mariña Oriental
1035,Viana,Verín,Viana
1036,Fisterra,Terra De Celanova,Fisterra
1037,Fisterra,Pontevedra,Fisterra
1038,A Mariña Oriental,Verín,A Mariña Oriental
1039,A Mariña Oriental,Terra De Lemos,A Mariña Oriental
1040,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1041,Fisterra,Caldas,Fisterra
1042,Ortegal,A Paradanta,Ortegal
1043,Ferrol,Betanzos,Ferrol
1044,Ferrol,Ordes,Ferrol
1045,Fisterra,Vigo,Fisterra
1046,Viana,Terra De Melide,Viana
1047,Fisterra,Tabeirós-Terra De Montes,Fisterra
1048,A Mariña Oriental,Terra De Celanova,A Mariña Oriental
1049,Ortegal,Vigo,Ortegal
1050,Fisterra,O Carballiño,Fisterra
1051,O Salnés,Tabeirós-Terra De Montes,O Salnés
1052,O Salnés,Caldas,O Salnés
1053,Viana,Terra Chá,Viana
1054,A Mariña Oriental,Terra De Caldelas,A Mariña Oriental
1055,O Salnés,Deza,O Salnés
1056,Ferrol,A Mariña Occidental,Ferrol
1057,Ferrol,Bergantiños,Ferrol
1058,Ortegal,Pontevedra,Ortegal
1059,A Mariña Oriental,Chantada,A Mariña Oriental
1060,Ortegal,Caldas,Ortegal
1061,Ortegal,Tabeirós-Terra De Montes,Ortegal
1062,Fisterra,Pontevedra,Fisterra
1063,Viana,O Carballiño,Viana
1064,A Mariña Oriental,A Paradanta,A Mariña Oriental
1065,A Mariña Oriental,Terra Chá,A Mariña Oriental
1066,Viana,Terra De Caldelas,Viana
1067,Viana,Pontevedra,Viana
1068,Viana,Allariz-Maceda,Viana
1069,A Mariña Oriental,Eume,A Mariña Oriental
1070,Viana,Deza,Viana
1071,O Salnés,Betanzos,O Salnés
1072,Ferrol,Santiago,Ferrol
1073,Fisterra,Vigo,Fisterra
1074,O Salnés,Tabeirós-Terra De Montes,O Salnés
1075,O Salnés,Terra De Melide,O Salnés
1076,Viana,Terra De Lemos,Viana
1077,O Salnés,Bergantiños,O Salnés
1078,Ortegal,O Salnés,Ortegal
1079,Ortegal,Tabeirós-Terra De Montes,Ortegal
1080,Viana,Tabeirós-Terra De Montes,Viana
1081,Fisterra,O Condado,Fisterra
1082,Viana,Chantada,Viana
1083,A Mariña Oriental,Chantada,A Mariña Oriental
1084,Ferrol,Meira,Ferrol
1085,A Mariña Oriental,Ourense,A Mariña Oriental
1086,Fisterra,Terra De Celanova,Fisterra
1087,A Mariña Oriental,Meira,A Mariña Oriental
1088,Ortegal,Pontevedra,Ortegal
1089,Fisterra,A Limia,Fisterra
1090,A Mariña Oriental,Terra De Celanova,A Mariña Oriental
1091,A Mariña Oriental,Betanzos,A Mariña Oriental
1092,Fisterra,Allariz-Maceda,Fisterra
1093,Ortegal,O Ribeiro,Ortegal
1094,Ferrol,Bergantiños,Ferrol
1095,Viana,Terra De Trives,Viana
1096,Viana,Allariz-Maceda,Viana
1097,Ferrol,Noia,Ferrol
1098,Ortegal,Ourense,Ortegal
1099,O Salnés,Santiago,O Salnés
1100,Ortegal,Terra De Celanova,Ortegal
1101,Fisterra,Baixa Limia,Fisterra
1102,Ferrol,Arzúa,Ferrol
1103,Viana,Valdeorras,Viana
1104,Fisterra,A Paradanta,Fisterra
1105,O Salnés,Bergantiños,O Salnés
1106,A Mariña Oriental,O Carballiño,A Mariña Oriental
1107,A Mariña Oriental,Terra De Trives,A Mariña Oriental
1108,Ferrol,Xallas,Ferrol
1109,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
1110,Ortegal,Vigo,Ortegal
1111,Ortegal,Chantada,Ortegal
1112,Viana,Chantada,Viana
1113,O Salnés,Arzúa,O Salnés
1114,Ortegal,Terra De Lemos,Ortegal
1115,Ortegal,O Carballiño,Ortegal
1116,O Salnés,Xallas,O Salnés
1117,Ortegal,Terra De Caldelas,Ortegal
1118,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1119,O Salnés,Caldas,O Salnés
1120,Viana,Lugo,Viana
1121,O Salnés,Pontevedra,O Salnés
1122,O Salnés,Tabeirós-Terra De Montes,O Salnés
1123,Ferrol,Eume,Ferrol
1124,Ferrol,Santiago,Ferrol
1125,Ferrol,Arzúa,Ferrol
1126,Ferrol,A Mariña Occidental,Ferrol
1127,Ferrol,A Mariña Central,Ferrol
1128,Viana,Quiroga,Viana
1129,Ferrol,Xallas,Ferrol
1130,Ferrol,Bergantiños,Ferrol
1131,Viana,Ourense,Viana
1132,O Salnés,Santiago,O Salnés
1133,Ferrol,Muros,Ferrol
1134,A Mariña Oriental,Valdeorras,A Mariña Oriental
1135,O Salnés,Deza,O Salnés
1136,Viana,Sarria,Viana
1137,Ortegal,Tabeirós-Terra De Montes,Ortegal
1138,Ortegal,Deza,Ortegal
1139,Ortegal,Verín,Ortegal
1140,Viana,A Ulloa,Viana
1141,Viana,Terra De Lemos,Viana
1142,O Salnés,Noia,O Salnés
1143,Fisterra,O Ribeiro,Fisterra
1144,A Mariña Oriental,A Ulloa,A Mariña Oriental
1145,Fisterra,O Carballiño,Fisterra
1146,A Mariña Oriental,Quiroga,A Mariña Oriental
1147,Ferrol,Betanzos,Ferrol
1148,Ortegal,O Sar,Ortegal
1149,Fisterra,Terra De Celanova,Fisterra
1150,Ortegal,O Ribeiro,Ortegal
1151,Viana,Terra De Celanova,Viana
1152,Viana,A Ulloa,Viana
1153,O Salnés,O Sar,O Salnés
1154,A Mariña Oriental,A Ulloa,A Mariña Oriental
1155,A Mariña Oriental,Chantada,A Mariña Oriental
1156,Fisterra,O Baixo Miño,Fisterra
1157,Ferrol,Noia,Ferrol
1158,Ortegal,O Carballiño,Ortegal
1159,Ortegal,Santiago,Ortegal
1160,A Mariña Oriental,Deza,A Mariña Oriental
1161,Viana,Chantada,Viana
1162,A Mariña Oriental,A Mariña Central,A Mariña Oriental
1163,A Mariña Oriental,Betanzos,A Mariña Oriental
1164,A Mariña Oriental,Lugo,A Mariña Oriental
1165,Ferrol,Terra De Soneira,Ferrol
1166,A Mariña Oriental,Terra De Lemos,A Mariña Oriental
1167,O Salnés,Noia,O Salnés
1168,O Salnés,Santiago,O Salnés
1169,Ferrol,Fisterra,Ferrol
1170,O Salnés,Tabeirós-Terra De Montes,O Salnés
1171,A Mariña Oriental,Chantada,A Mariña Oriental
1172,Ortegal,O Baixo Miño,Ortegal
1173,Viana,A Limia,Viana
1174,Fisterra,Pontevedra,Fisterra
1175,Fisterra,O Baixo Miño,Fisterra
1176,O Salnés,Xallas,O Salnés
1177,A Mariña Oriental,Sarria,A Mariña Oriental
1178,A Mariña Oriental,O Carballiño,A Mariña Oriental
1179,Ferrol,Betanzos,Ferrol
1180,O Salnés,Deza,O Salnés
1181,O Salnés,O Carballiño,O Salnés
1182,Fisterra,Terra De Celanova,Fisterra
1183,Fisterra,Tabeirós-Terra De Montes,Fisterra
1184,A Mariña Oriental,Terra De Caldelas,A Mariña Oriental
1185,Ferrol,Santiago,Ferrol
1186,Fisterra,Vigo,Fisterra
1187,A Mariña Oriental,Ourense,A Mariña Oriental
1188,Ferrol,A Mariña Central,Ferrol
1189,O Salnés,Chantada,O Salnés
1190,Ortegal,A Limia,Ortegal
1191,O Salnés,A Ulloa,O Salnés
1192,Ortegal,Pontevedra,Ortegal
1193,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
1194,Ortegal,Terra De Caldelas,Ortegal
1195,Viana,Terra De Caldelas,Viana
1196,Viana,Verín,Viana
1197,Viana,Viana,Viana
1198,O Salnés,Terra De Melide,O Salnés
1199,Viana,Terra De Trives,Viana
1200,O Salnés,Ourense,O Salnés
1201,Viana,Quiroga,Viana
1202,A Mariña Oriental,Terra De Trives,A Mariña Oriental
1203,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1204,Fisterra,O Sar,Fisterra
1205,Viana,Ourense,Viana
1206,Fisterra,A Limia,Fisterra
1207,Ferrol,Xallas,Ferrol
1208,Fisterra,Ourense,Fisterra
1209,Ferrol,Tabeirós-Terra De Montes,Ferrol
1210,O Salnés,O Sar,O Salnés
1211,O Salnés,Tabeirós-Terra De Montes,O Salnés
1212,A Mariña Oriental,A Ulloa,A Mariña Oriental
1213,Ferrol,Terra Chá,Ferrol
1214,Ferrol,Terra De Melide,Ferrol
1215,O Salnés,Pontevedra,O Salnés
1216,O Salnés,Xallas,O Salnés
1217,O Salnés,O Salnés,O Salnés
1218,O Salnés,Fisterra,O Salnés
1219,Ortegal,Pontevedra,Ortegal
1220,Fisterra,O Ribeiro,Fisterra
1221,Viana,A Limia,Viana
1222,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1223,Fisterra,Terra De Lemos,Fisterra
1224,Ortegal,O Carballiño,Ortegal
1225,Fisterra,A Limia,Fisterra
1226,Ortegal,Tabeirós-Terra De Montes,Ortegal
1227,A Mariña Oriental,A Mariña Central,A Mariña Oriental
1228,O Salnés,O Carballiño,O Salnés
1229,O Salnés,Muros,O Salnés
1230,Viana,Ourense,Viana
1231,Ferrol,Deza,Ferrol
1232,Viana,A Limia,Viana
1233,Ortegal,Deza,Ortegal
1234,Fisterra,Ourense,Fisterra
1235,Ferrol,A Mariña Central,Ferrol
1236,O Salnés,Tabeirós-Terra De Montes,O Salnés
1237,A Mariña Oriental,Betanzos,A Mariña Oriental
1238,Fisterra,Terra De Caldelas,Fisterra
1239,Fisterra,Quiroga,Fisterra
1240,O Salnés,Terra De Lemos,O Salnés
1241,Ferrol,Lugo,Ferrol
1242,Ortegal,Arzúa,Ortegal
1243,Ferrol,Betanzos,Ferrol
1244,A Mariña Oriental,Quiroga,A Mariña Oriental
1245,O Salnés,Deza,O Salnés
1246,A Mariña Oriental,Betanzos,A Mariña Oriental
1247,Ferrol,A Barcala,Ferrol
1248,Fisterra,Terra De Trives,Fisterra
1249,A Mariña Oriental,Viana,A Mariña Oriental
1250,A Mariña Oriental,Terra Chá,A Mariña Oriental
1251,Ortegal,O Carballiño,Ortegal
1252,Ferrol,Deza,Ferrol
1253,Ortegal,Caldas,Ortegal
1254,A Mariña Oriental,A Mariña Central,A Mariña Oriental
1255,Fisterra,Verín,Fisterra
1256,Viana,Ourense,Viana
1257,Ortegal,Betanzos,Ortegal
1258,Ortegal,Terra De Melide,Ortegal
1259,Fisterra,Terra De Lemos,Fisterra
1260,Ferrol,Betanzos,Ferrol
1261,A Mariña Oriental,Eume,A Mariña Oriental
1262,Ferrol,Xallas,Ferrol
1263,Ortegal,Santiago,Ortegal
1264,Fisterra,Quiroga,Fisterra
1265,A Mariña Oriental,Lugo,A Mariña Oriental
1266,Fisterra,Pontevedra,Fisterra
1267,Ortegal,A Ulloa,Ortegal
1268,Ortegal,Tabeirós-Terra De Montes,Ortegal
1269,A Mariña Oriental,Terra De Trives,A Mariña Oriental
1270,A Mariña Oriental,Quiroga,A Mariña Oriental
1271,Ortegal,Ordes,Ortegal
1272,A Mariña Oriental,Terra De Lemos,A Mariña Oriental
1273,Fisterra,Terra De Trives,Fisterra
1274,O Salnés,Tabeirós-Terra De Montes,O Salnés
1275,Viana,Terra De Caldelas,Viana
1276,Ortegal,Chantada,Ortegal
1277,Ferrol,Ordes,Ferrol
1278,O Salnés,Caldas,O Salnés
1279,A Mariña Oriental,Ourense,A Mariña Oriental
1280,Viana,Verín,Viana
1281,A Mariña Oriental,Terra De Trives,A Mariña Oriental
1282,A Mariña Oriental,Terra De Caldelas,A Mariña Oriental
1283,Viana,Baixa Limia,Viana
1284,Ortegal,Terra De Lemos,Ortegal
1285,A Mariña Oriental,O Ribeiro,A Mariña Oriental
1286,O Salnés,Pontevedra,O Salnés
1287,Ferrol,Terra De Melide,Ferrol
1288,O Salnés,Xallas,O Salnés
1289,Ferrol,O Carballiño,Ferrol
1290,A Mariña Oriental,Betanzos,A Mariña Oriental
1291,O Salnés,Santiago,O Salnés
1292,O Salnés,A Barcala,O Salnés
1293,Ortegal,Deza,Ortegal
1294,A Mariña Oriental,Ordes,A Mariña Oriental
1295,Ortegal,Terra De Melide,Ortegal
1296,Fisterra,O Ribeiro,Fisterra
1297,A Mariña Oriental,Xallas,A Mariña Oriental
1298,Ferrol,Xallas,Ferrol
1299,A Mariña Oriental,Verín,A Mariña Oriental
1300,O Salnés,Ordes,O Salnés
1301,A Mariña Oriental,Chantada,A Mariña Oriental
1302,O Salnés,Bergantiños,O Salnés
1303,Ortegal,Sarria,Ortegal
1304,Ferrol,Chantada,Ferrol
1305,Viana,Terra De Caldelas,Viana
1306,A Mariña Oriental,Terra De Caldelas,A Mariña Oriental
1307,Viana,Terra De Celanova,Viana
1308,Ferrol,Lugo,Ferrol
1309,Ferrol,Terra De Lemos,Ferrol
1310,Fisterra,Terra De Celanova,Fisterra
1311,Ortegal,Os Ancares,Ortegal
1312,O Salnés,O Carballiño,O Salnés
1313,Ferrol,A Mariña Occidental,Ferrol
1314,Viana,Verín,Viana
1315,Viana,Viana,Viana
1316,O Salnés,Xallas,O Salnés
1317,Viana,Terra De Caldelas,Viana
1318,Ferrol,Eume,Ferrol
1319,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1320,Ferrol,Terra De Caldelas,Ferrol
1321,O Salnés,Vigo,O Salnés
1322,A Mariña Oriental,O Carballiño,A Mariña Oriental
1323,Viana,Terra De Caldelas,Viana
1324,Ferrol,Fisterra,Ferrol
1325,Fisterra,Vigo,Fisterra
1326,Fisterra,A Limia,Fisterra
1327,Ortegal,Ordes,Ortegal
1328,A Mariña Oriental,Viana,A Mariña Oriental
1329,Ortegal,Terra De Melide,Ortegal
1330,Ortegal,A Fonsagrada,Ortegal
1331,Fisterra,Baixa Limia,Fisterra
1332,A Mariña Oriental,Terra De Caldelas,A Mariña Oriental
1333,Ferrol,Muros,Ferrol
1334,Viana,Ourense,Viana
1335,A Mariña Oriental,Tabeirós-Terra De Montes,A Mariña Oriental
1336,Ortegal,Terra Chá,Ortegal
1337,Viana,Terra De Caldelas,Viana
1338,Ferrol,Meira,Ferrol
1339,Fisterra,Allariz-Maceda,Fisterra
1340,Viana,Viana,Viana
1341,O Salnés,Deza,O Salnés
1342,Viana,A Limia,Viana
1343,A Mariña Oriental,Terra Chá,A Mariña Oriental
1344,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
1345,A Mariña Oriental,Chantada,A Mariña Oriental
1346,Viana,Chantada,Viana
1347,Ortegal,Deza,Ortegal
1348,Fisterra,O Carballiño,Fisterra
1349,Ortegal,Santiago,Ortegal
1350,A Mariña Oriental,Meira,A Mariña Oriental
1351,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1352,O Salnés,A Coruña,O Salnés
1353,Ortegal,Terra De Lemos,Ortegal
1354,A Mariña Oriental,Terra De Caldelas,A Mariña Oriental
1355,O Salnés,Ordes,O Salnés
1356,O Salnés,Tabeirós-Terra De Montes,O Salnés
1357,Ferrol,Sarria,Ferrol
1358,A Mariña Oriental,Os Ancares,A Mariña Oriental
1359,A Mariña Oriental,Terra De Lemos,A Mariña Oriental
1360,O Salnés,O Carballiño,O Salnés
1361,Ortegal,Chantada,Ortegal
1362,Viana,Terra De Caldelas,Viana
1363,Viana,O Carballiño,Viana
1364,Viana,Chantada,Viana
1365,Viana,Sarria,Viana
1366,O Salnés,Betanzos,O Salnés
1367,Viana,Quiroga,Viana
1368,O Salnés,O Carballiño,O Salnés
1369,Ferrol,Terra Chá,Ferrol
1370,Ferrol,Xallas,Ferrol
1371,Ortegal,Noia,Ortegal
1372,Ferrol,A Mariña Occidental,Ferrol
1373,O Salnés,Chantada,O Salnés
1374,Ferrol,Sarria,Ferrol
1375,Ferrol,Santiago,Ferrol
1376,Ferrol,Os Ancares,Ferrol
1377,Fisterra,Ourense,Fisterra
1378,Viana,Terra De Trives,Viana
1379,Fisterra,Terra De Lemos,Fisterra
1380,A Mariña Oriental,Deza,A Mariña Oriental
1381,Fisterra,A Limia,Fisterra
1382,Fisterra,Pontevedra,Fisterra
1383,Viana,Allariz-Maceda,Viana
1384,Viana,A Limia,Viana
1385,A Mariña Oriental,Terra Chá,A Mariña Oriental
1386,Ortegal,Ordes,Ortegal
1387,Ortegal,A Coruña,Ortegal
1388,Viana,Valdeorras,Viana
1389,Viana,Terra De Celanova,Viana
1390,Fisterra,Chantada,Fisterra
1391,Ortegal,Santiago,Ortegal
1392,O Salnés,Deza,O Salnés
1393,Viana,Baixa Limia,Viana
1394,Fisterra,O Carballiño,Fisterra
1395,A Mariña Oriental,Eume,A Mariña Oriental
1396,Fisterra,Quiroga,Fisterra
1397,Ferrol,Chantada,Ferrol
1398,Ortegal,Meira,Ortegal
1399,Viana,Terra De Lemos,Viana
1400,A Mariña Oriental,Lugo,A Mariña Oriental
1401,A Mariña Oriental,Meira,A Mariña Oriental
1402,Viana,Quiroga,Viana
1403,Ortegal,Bergantiños,Ortegal
1404,Viana,Os Ancares,Viana
1405,Fisterra,Caldas,Fisterra
1406,O Salnés,Noia,O Salnés
1407,Fisterra,O Salnés,Fisterra
1408,Ferrol,Terra Chá,Ferrol
1409,O Salnés,Arzúa,O Salnés
1410,A Mariña Oriental,A Mariña Occidental,A Mariña Oriental
1411,Fisterra,Chantada,Fisterra
1412,Ortegal,Noia,Ortegal
1413,Viana,Ourense,Viana
1414,Ortegal,Arzúa,Ortegal
1415,O Salnés,Terra Chá,O Salnés
1416,Ortegal,Lugo,Ortegal
1417,A Mariña Oriental,Ferrol,A Mariña Oriental
1418,Ferrol,Santiago,Ferrol
1419,Ortegal,Chantada,Ortegal
1420,Ferrol,Ordes,Ferrol
1421,O Salnés,Eume,O Salnés
1422,O Salnés,Noia,O Salnés
1423,Fisterra,Terra De Celanova,Fisterra
1424,Fisterra,Ourense,Fisterra
1425,Ferrol,Bergantiños,Ferrol
1426,Viana,Sarria,Viana
1427,Ortegal,Os Ancares,Ortegal
1428,A Mariña Oriental,Ortegal,A Mariña Oriental
1429,O Salnés,Pontevedra,O Salnés
1430,O Salnés,Muros,O Salnés
1431,A Mariña Oriental,Terra Chá,A Mariña Oriental
1432,Viana,Lugo,Viana
