Día,Atacante,Concello conquistado,Pertenecía a
1572,Ortegal,Terra Chá,Ortegal
1573,A Mariña Oriental,Betanzos,A Mariña Oriental
1574,A Mariña Oriental,Meira,A Mariña Oriental
1575,O Salnés,Terra De Soneira,O Salnés
1576,A Mariña Oriental,Ordes,A Mariña Oriental
1577,A Mariña Oriental,Terra Chá,A Mariña Oriental
1578,O Salnés,Caldas,O Salnés
1579,Fisterra,O Carballiño,Fisterra
1580,Fisterra,Ourense,Fisterra
1581,A Mariña Oriental,A Mariña Central,A Mariña Oriental
1582,A Mariña Oriental,Lugo,A Mariña Oriental
1583,Ortegal,A Fonsagrada,Ortegal
1584,O Salnés,Santiago,O Salnés
1585,Viana,O Carballiño,Viana
1586,Viana,Lugo,Viana
1587,A Mariña Oriental,A Mariña Oriental,A Mariña Oriental
1588,O Salnés,Noia,O Salnés
1589,Viana,A Fonsagrada,Viana
1590,Viana,O Ribeiro,Viana
1591,Viana,Meira,Viana
1592,Viana,Santiago,Viana
1593,Ferrol,Santiago,Ferrol
1594,Fisterra,Terra De Lemos,Fisterra
1595,Ortegal,Lugo,Ortegal
1596,Ferrol,Xallas,Ferrol
1597,Fisterra,Chantada,Fisterra
1598,Ortegal,Sarria,Ortegal
1599,Ortegal,Quiroga,Ortegal
1600,O Salnés,Xallas,O Salnés
1601,O Salnés,Ordes,O Salnés
1602,Fisterra,O Ribeiro,Fisterra
1603,Ortegal,A Fonsagrada,Ortegal
1604,O Salnés,Betanzos,O Salnés
1605,Fisterra,O Carballiño,Fisterra
1606,O Salnés,Bergantiños,O Salnés
1607,Fisterra,Quiroga,Fisterra
1608,Ferrol,Noia,Ferrol
1609,Ortegal,Quiroga,Ortegal
1610,A Mariña Oriental,Meira,A Mariña Oriental
1611,Fisterra,Allariz-Maceda,Fisterra
1612,A Mariña Oriental,Betanzos,A Mariña Oriental
1613,O Salnés,O Carballiño,O Salnés
1614,O Salnés,Noia,O Salnés
1615,O Salnés,Santiago,O Salnés
1616,Ortegal,Terra De Caldelas,Ortegal
1617,Fisterra,O Carballiño,Fisterra
1618,O Salnés,O Salnés,O Salnés
1619,O Salnés,Deza,O Salnés
1620,Fisterra,Terra De Celanova,Fisterra
1621,Ortegal,A Mariña Oriental,Ortegal
1622,Ortegal,Terra De Trives,Ortegal
1623,Viana,Quiroga,Viana
1624,Fisterra,A Ulloa,Fisterra
1625,O Salnés,Arzúa,O Salnés
1626,A Mariña Oriental,Lugo,A Mariña Oriental
1627,A Mariña Oriental,A Ulloa,A Mariña Oriental
1628,Fisterra,Deza,Fisterra
1629,A Mariña Oriental,Deza,A Mariña Oriental
1630,Viana,Terra De Lemos,Viana
1631,A Mariña Oriental,Chantada,A Mariña Oriental
1632,A Mariña Oriental,A Fonsagrada,A Mariña Oriental
1633,Viana,Sarria,Viana
1634,Viana,Terra De Caldelas,Viana
1635,A Mariña Oriental,A Mariña Oriental,A Mariña Oriental
1636,O Salnés,Pontevedra,O Salnés
1637,O Salnés,O Ribeiro,O Salnés
1638,Fisterra,Baixa Limia,Fisterra
1639,Viana,Lugo,Viana
1640,A Mariña Oriental,Santiago,A Mariña Oriental
1641,A Mariña Oriental,A Coruña,A Mariña Oriental
1642,Ortegal,Quiroga,Ortegal
1643,Ortegal,Valdeorras,Ortegal
1644,Viana,Meira,Viana
1645,Fisterra,A Limia,Fisterra
1646,O Salnés,Betanzos,O Salnés
1647,O Salnés,Terra Chá,O Salnés
1648,Fisterra,Tabeirós-Terra De Montes,Fisterra
1649,Fisterra,O Ribeiro,Fisterra
1650,A Mariña Oriental,Meira,A Mariña Oriental
1651,Viana,Ourense,Viana
1652,Fisterra,Chantada,Fisterra
1653,Fisterra,Terra De Lemos,Fisterra
1654,O Salnés,Lugo,O Salnés
1655,A Mariña Oriental,Os Ancares,A Mariña Oriental
1656,A Mariña Oriental,Ordes,A Mariña Oriental
1657,Ortegal,Sarria,Ortegal
1658,Viana,Quiroga,Viana
1659,Ortegal,Terra De Lemos,Ortegal
1660,A Mariña Oriental,Terra Chá,A Mariña Oriental
1661,O Salnés,Deza,O Salnés
1662,Fisterra,Deza,Fisterra
1663,Viana,A Limia,Viana
1664,O Salnés,Santiago,O Salnés
1665,Fisterra,Ourense,Fisterra
1666,O Salnés,Meira,O Salnés
1667,Fisterra,Pontevedra,Fisterra
1668,O Salnés,Terra De Melide,O Salnés
1669,Ortegal,Verín,Ortegal
1670,O Salnés,Ordes,O Salnés
1671,O Salnés,Sarria,O Salnés
1672,Fisterra,Santiago,Fisterra
1673,Fisterra,A Ulloa,Fisterra
1674,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1675,Fisterra,Lugo,Fisterra
1676,O Salnés,A Fonsagrada,O Salnés
1677,Viana,Terra De Trives,Viana
1678,Viana,Verín,Viana
1679,Ortegal,Sarria,Ortegal
1680,Ortegal,Lugo,Ortegal
1681,Viana,Allariz-Maceda,Viana
1682,A Mariña Oriental,Lugo,A Mariña Oriental
1683,O Salnés,A Coruña,O Salnés
1684,A Mariña Oriental,Sarria,A Mariña Oriental
1685,A Mariña Oriental,Deza,A Mariña Oriental
1686,O Salnés,Tabeirós-Terra De Montes,O Salnés
1687,Viana,Valdeorras,Viana
1688,O Salnés,Santiago,O Salnés
1689,Ortegal,Sarria,Ortegal
1690,A Mariña Oriental,Meira,A Mariña Oriental
1691,Fisterra,Allariz-Maceda,Fisterra
1692,A Mariña Oriental,Arzúa,A Mariña Oriental
1693,Fisterra,Lugo,Fisterra
1694,Ortegal,Os Ancares,Ortegal
1695,A Mariña Oriental,Chantada,A Mariña Oriental
1696,O Salnés,Os Ancares,O Salnés
1697,O Salnés,Deza,O Salnés
1698,Ortegal,Os Ancares,Ortegal
1699,Fisterra,Chantada,Fisterra
1700,Fisterra,O Salnés,Fisterra
1701,A Mariña Oriental,A Fonsagrada,A Mariña Oriental
1702,A Mariña Oriental,Betanzos,A Mariña Oriental
1703,Ortegal,Lugo,Ortegal
1704,Fisterra,Tabeirós-Terra De Montes,Fisterra
1705,O Salnés,O Carballiño,O Salnés
1706,Ortegal,A Fonsagrada,Ortegal
1707,Ortegal,Ourense,Ortegal
1708,O Salnés,Pontevedra,O Salnés
1709,Viana,Os Ancares,Viana
1710,Fisterra,O Sar,Fisterra
1711,A Mariña Oriental,Lugo,A Mariña Oriental
1712,Viana,A Fonsagrada,Viana
1713,Viana,Meira,Viana
1714,O Salnés,Chantada,O Salnés
1715,O Salnés,Arzúa,O Salnés
1716,Ortegal,Allariz-Maceda,Ortegal
1717,A Mariña Oriental,Meira,A Mariña Oriental
1718,Viana,A Mariña Oriental,Viana
1719,Fisterra,Caldas,Fisterra
1720,Viana,Ourense,Viana
1721,Ortegal,Terra De Caldelas,Ortegal
1722,A Mariña Oriental,A Ulloa,A Mariña Oriental
1723,Fisterra,Allariz-Maceda,Fisterra
1724,Viana,Terra De Caldelas,Viana
1725,Viana,Sarria,Viana
1726,Viana,Lugo,Viana
1727,O Salnés,A Ulloa,O Salnés
1728,Fisterra,A Limia,Fisterra
1729,Ortegal,Quiroga,Ortegal
1730,Ortegal,Sarria,Ortegal
1731,Viana,A Mariña Central,Viana
1732,Ortegal,Chantada,Ortegal
1733,Viana,Terra De Lemos,Viana
1734,Fisterra,Terra De Caldelas,Fisterra
1735,Ortegal,Terra De Lemos,Ortegal
1736,Viana,Terra De Caldelas,Viana
1737,A Mariña Oriental,Lugo,A Mariña Oriental
1738,Fisterra,Santiago,Fisterra
1739,Fisterra,Verín,Fisterra
1740,Fisterra,Terra De Trives,Fisterra
1741,Ortegal,Valdeorras,Ortegal
1742,Fisterra,Pontevedra,Fisterra
1743,Viana,Terra De Trives,Viana
1744,Viana,Chantada,Viana
1745,A Mariña Oriental,A Mariña Central,A Mariña Oriental
1746,A Mariña Oriental,Os Ancares,A Mariña Oriental
1747,Fisterra,Deza,Fisterra
1748,A Mariña Oriental,A Ulloa,A Mariña Oriental
1749,Fisterra,Arzúa,Fisterra
1750,O Salnés,Tabeirós-Terra De Montes,O Salnés
1751,A Mariña Oriental,A Coruña,A Mariña Oriental
1752,Viana,Lugo,Viana
1753,Fisterra,Tabeirós-Terra De Montes,Fisterra
1754,Ortegal,Os Ancares,Ortegal
1755,Ortegal,Terra De Trives,Ortegal
1756,Ortegal,Lugo,Ortegal
1757,Viana,Terra De Trives,Viana
1758,O Salnés,Caldas,O Salnés
1759,Fisterra,Xallas,Fisterra
1760,Ortegal,Ourense,Ortegal
1761,O Salnés,Pontevedra,O Salnés
1762,A Mariña Oriental,Arzúa,A Mariña Oriental
1763,Viana,Valdeorras,Viana
1764,Ortegal,O Ribeiro,Ortegal
1765,Viana,Os Ancares,Viana
1766,Ortegal,Os Ancares,Ortegal
1767,Ortegal,Chantada,Ortegal
1768,A Mariña Oriental,A Mariña Oriental,A Mariña Oriental
1769,Ortegal,Terra De Celanova,Ortegal
1770,O Salnés,O Salnés,O Salnés
1771,Fisterra,A Barcala,Fisterra
1772,Viana,Quiroga,Viana
1773,A Mariña Oriental,Ordes,A Mariña Oriental
1774,O Salnés,Tabeirós-Terra De Montes,O Salnés
1775,O Salnés,Xallas,O Salnés
1776,A Mariña Oriental,Lugo,A Mariña Oriental
1777,Fisterra,Xallas,Fisterra
1778,Ortegal,Vigo,Ortegal
1779,A Mariña Oriental,Deza,A Mariña Oriental
1780,A Mariña Oriental,Xallas,A Mariña Oriental
1781,Fisterra,Terra De Caldelas,Fisterra
1782,Ortegal,Allariz-Maceda,Ortegal
1783,Ortegal,A Fonsagrada,Ortegal
1784,A Mariña Oriental,Bergantiños,A Mariña Oriental
1785,Ortegal,A Limia,Ortegal
1786,Ortegal,Lugo,Ortegal
1787,A Mariña Oriental,Muros,A Mariña Oriental
1788,A Mariña Oriental,Tabeirós-Terra De Montes,A Mariña Oriental
1789,Ortegal,Terra De Melide,Ortegal
1790,Viana,Verín,Viana
1791,Ortegal,Baixa Limia,Ortegal
1792,Fisterra,Xallas,Fisterra
1793,Ortegal,Meira,Ortegal
1794,O Salnés,Tabeirós-Terra De Montes,O Salnés
1795,A Mariña Oriental,Xallas,A Mariña Oriental
1796,Ortegal,O Baixo Miño,Ortegal
1797,A Mariña Oriental,Terra De Soneira,A Mariña Oriental
1798,Ortegal,Verín,Ortegal
1799,O Salnés,O Ribeiro,O Salnés
1800,O Salnés,O Sar,O Salnés
1801,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1802,O Salnés,Muros,O Salnés
1803,Viana,Terra De Caldelas,Viana
1804,Fisterra,Deza,Fisterra
1805,O Salnés,Santiago,O Salnés
1806,O Salnés,Deza,O Salnés
1807,Fisterra,Santiago,Fisterra
1808,O Salnés,Vigo,O Salnés
1809,O Salnés,A Ulloa,O Salnés
1810,A Mariña Oriental,Santiago,A Mariña Oriental
1811,Ortegal,Terra De Caldelas,Ortegal
1812,O Salnés,O Condado,O Salnés
1813,Ortegal,Terra Chá,Ortegal
1814,Fisterra,Terra De Celanova,Fisterra
1815,A Mariña Oriental,Meira,A Mariña Oriental
1816,Viana,Verín,Viana
1817,Ortegal,Betanzos,Ortegal
1818,Viana,Terra De Caldelas,Viana
1819,O Salnés,Terra De Soneira,O Salnés
1820,Fisterra,Ourense,Fisterra
1821,Viana,Ourense,Viana
1822,Fisterra,Allariz-Maceda,Fisterra
1823,A Mariña Oriental,A Barcala,A Mariña Oriental
1824,Fisterra,Vigo,Fisterra
1825,A Mariña Oriental,Terra Chá,A Mariña Oriental
1826,A Mariña Oriental,Terra De Soneira,A Mariña Oriental
1827,Fisterra,O Baixo Miño,Fisterra
1828,Fisterra,O Condado,Fisterra
1829,O Salnés,O Morrazo,O Salnés
1830,Ortegal,Terra De Caldelas,Ortegal
1831,Fisterra,O Ribeiro,Fisterra
1832,Viana,Terra De Caldelas,Viana
1833,Ortegal,Quiroga,Ortegal
1834,Ortegal,Terra Chá,Ortegal
1835,O Salnés,Chantada,O Salnés
1836,A Mariña Oriental,Terra Chá,A Mariña Oriental
1837,A Mariña Oriental,A Fonsagrada,A Mariña Oriental
1838,A Mariña Oriental,A Ulloa,A Mariña Oriental
1839,A Mariña Oriental,Noia,A Mariña Oriental
1840,Ortegal,Verín,Ortegal
1841,Viana,Verín,Viana
1842,A Mariña Oriental,Betanzos,A Mariña Oriental
1843,A Mariña Oriental,Muros,A Mariña Oriental
1844,Fisterra,O Carballiño,Fisterra
1845,A Mariña Oriental,Lugo,A Mariña Oriental
1846,O Salnés,Vigo,O Salnés
1847,Fisterra,Ourense,Fisterra
1848,O Salnés,A Paradanta,O Salnés
1849,Viana,Terra De Lemos,Viana
1850,Fisterra,A Paradanta,Fisterra
1851,Ortegal,Valdeorras,Ortegal
1852,O Salnés,Terra De Melide,O Salnés
1853,Viana,Ourense,Viana
1854,Viana,O Carballiño,Viana
1855,A Mariña Oriental,Terra De Melide,A Mariña Oriental
1856,Ortegal,Lugo,Ortegal
1857,Ortegal,Terra De Caldelas,Ortegal
1858,A Mariña Oriental,Deza,A Mariña Oriental
1859,O Salnés,O Ribeiro,O Salnés
1860,A Mariña Oriental,O Carballiño,A Mariña Oriental
1861,Fisterra,Ourense,Fisterra
1862,Ortegal,Terra De Celanova,Ortegal
1863,A Mariña Oriental,Lugo,A Mariña Oriental
1864,A Mariña Oriental,Pontevedra,A Mariña Oriental
1865,A Mariña Oriental,O Ribeiro,A Mariña Oriental
1866,Fisterra,Vigo,Fisterra
1867,Viana,Quiroga,Viana
1868,Ortegal,Quiroga,Ortegal
1869,O Salnés,Muros,O Salnés
1870,Fisterra,O Ribeiro,Fisterra
1871,Fisterra,Terra De Lemos,Fisterra
1872,Viana,A Limia,Viana
1873,O Salnés,Noia,O Salnés
1874,Ortegal,A Paradanta,Ortegal
1875,Fisterra,Sarria,Fisterra
1876,Ortegal,Terra De Lemos,Ortegal
1877,A Mariña Oriental,Noia,A Mariña Oriental
1878,Ortegal,O Condado,Ortegal
1879,O Salnés,O Carballiño,O Salnés
1880,Fisterra,Terra De Caldelas,Fisterra
1881,Ortegal,Terra De Trives,Ortegal
1882,O Salnés,Ourense,O Salnés
1883,A Mariña Oriental,Os Ancares,A Mariña Oriental
1884,A Mariña Oriental,Sarria,A Mariña Oriental
1885,Viana,Terra De Caldelas,Viana
