Día,Atacante,Concello conquistado,Pertenecía a,Eliminado
601,Meira,A Coruña,A Limia,
602,Meira,O Salnés,A Limia,
603,Meira,Betanzos,A Limia,
604,Meira,Eume,A Limia,
605,A Limia,Eume,Meira,
606,Meira,Eume,A Limia,
607,Meira,Ferrol,A Limia,
608,Meira,Ortegal,A Limia,
609,A Limia,O Salnés,Meira,
610,A Limia,Ortegal,Meira,
611,A Limia,Ferrol,Meira,
612,Meira,O Salnés,A Limia,
613,Meira,Ferrol,A Limia,
614,A Limia,Ferrol,Meira,
615,A Limia,Eume,Meira,
616,A Limia,O Salnés,Meira,
617,A Limia,Betanzos,Meira,
618,Meira,O Salnés,A Limia,
619,A Limia,O Salnés,Meira,
620,A Limia,A Coruña,Meira,
621,Meira,A Coruña,A Limia,
622,Meira,O Salnés,A Limia,
623,A Limia,O Salnés,Meira,
624,Meira,O Salnés,A Limia,
625,A Limia,O Salnés,Meira,
626,A Limia,A Coruña,Meira,
627,A Limia,Bergantiños,Meira,
628,A Limia,Terra De Soneira,Meira,
629,Meira,Terra De Soneira,A Limia,
630,Meira,Bergantiños,A Limia,
631,A Limia,Bergantiños,Meira,
632,Meira,Bergantiños,A Limia,
633,A Limia,Bergantiños,Meira,
634,Meira,Bergantiños,A Limia,
635,A Limia,Bergantiños,Meira,
636,Meira,Bergantiños,A Limia,
637,A Limia,Bergantiños,Meira,
638,A Limia,Terra De Soneira,Meira,
639,A Limia,Fisterra,Meira,
640,A Limia,Muros,Meira,
641,Meira,Muros,A Limia,
642,A Limia,Muros,Meira,
643,Meira,Muros,A Limia,
644,A Limia,Muros,Meira,
645,Meira,Muros,A Limia,
646,Meira,Fisterra,A Limia,
647,A Limia,Fisterra,Meira,
648,A Limia,Muros,Meira,
649,A Limia,Ordes,Meira,
650,A Limia,Arzúa,Meira,
651,Meira,Muros,A Limia,
652,Meira,Fisterra,A Limia,
653,Meira,Terra De Soneira,A Limia,
654,A Limia,Terra De Soneira,Meira,
655,Meira,Terra De Soneira,A Limia,
656,Meira,O Salnés,A Limia,
657,Meira,Bergantiños,A Limia,
658,Meira,A Coruña,A Limia,
659,Meira,Ordes,A Limia,
660,Meira,Arzúa,A Limia,
661,Meira,Betanzos,A Limia,
662,A Limia,O Salnés,Meira,
663,A Limia,Betanzos,Meira,
664,Meira,O Salnés,A Limia,
665,A Limia,O Salnés,Meira,
666,A Limia,A Coruña,Meira,
667,A Limia,Bergantiños,Meira,
668,A Limia,Terra De Soneira,Meira,
669,A Limia,Fisterra,Meira,
670,Meira,Fisterra,A Limia,
671,Meira,Terra De Soneira,A Limia,
672,Meira,Bergantiños,A Limia,
673,A Limia,Bergantiños,Meira,
674,Meira,Bergantiños,A Limia,
675,A Limia,Bergantiños,Meira,
676,A Limia,Terra De Soneira,Meira,
677,Meira,Terra De Soneira,A Limia,
678,A Limia,Terra De Soneira,Meira,
679,A Limia,Fisterra,Meira,
680,Meira,Fisterra,A Limia,
681,A Limia,Fisterra,Meira,
682,A Limia,Muros,Meira,
683,A Limia,Ordes,Meira,
684,A Limia,Arzúa,Meira,
685,A Limia,Deza,Meira,
686,Meira,Muros,A Limia,
687,Meira,Fisterra,A Limia,
688,A Limia,Fisterra,Meira,
689,Meira,Fisterra,A Limia,
690,Meira,Terra De Soneira,A Limia,
691,Meira,O Salnés,A Limia,
692,Meira,Bergantiños,A Limia,
693,Meira,A Coruña,A Limia,
694,Meira,Ordes,A Limia,
695,Meira,Arzúa,A Limia,
696,A Limia,O Salnés,Meira,
697,A Limia,A Coruña,Meira,
698,A Limia,Arzúa,Meira,
699,Meira,A Coruña,A Limia,
700,A Limia,A Coruña,Meira,
701,Meira,A Coruña,A Limia,
702,A Limia,A Coruña,Meira,
703,A Limia,Bergantiños,Meira,
704,Meira,Bergantiños,A Limia,
705,A Limia,Bergantiños,Meira,
706,A Limia,Ordes,Meira,
707,Meira,O Salnés,A Limia,
708,A Limia,O Salnés,Meira,
709,A Limia,Terra De Soneira,Meira,
710,A Limia,Fisterra,Meira,
711,Meira,Fisterra,A Limia,
712,Meira,Terra De Soneira,A Limia,
713,A Limia,Terra De Soneira,Meira,
714,Meira,Terra De Soneira,A Limia,
715,Meira,O Salnés,A Limia,
716,A Limia,O Salnés,Meira,
717,A Limia,Terra De Soneira,Meira,
718,Meira,Terra De Soneira,A Limia,
719,Meira,O Salnés,A Limia,
720,A Limia,O Salnés,Meira,
721,A Limia,Terra De Soneira,Meira,
722,Meira,Terra De Soneira,A Limia,
723,Meira,O Salnés,A Limia,
724,A Limia,O Salnés,Meira,
725,Meira,O Salnés,A Limia,
726,A Limia,O Salnés,Meira,
727,A Limia,Terra De Soneira,Meira,
728,Meira,Terra De Soneira,A Limia,
729,Meira,O Salnés,A Limia,
730,A Limia,O Salnés,Meira,
731,A Limia,Terra De Soneira,Meira,
732,Meira,Terra De Soneira,A Limia,
733,Meira,O Salnés,A Limia,
734,A Limia,O Salnés,Meira,
735,A Limia,Terra De Soneira,Meira,
736,A Limia,Fisterra,Meira,
737,A Limia,Muros,Meira,
738,Meira,Muros,A Limia,
739,Meira,Fisterra,A Limia,
740,Meira,Terra De Soneira,A Limia,
741,Meira,O Salnés,A Limia,
742,Meira,Bergantiños,A Limia,
743,A Limia,O Salnés,Meira,
744,A Limia,Bergantiños,Meira,
745,Meira,O Salnés,A Limia,
746,Meira,Bergantiños,A Limia,
747,A Limia,O Salnés,Meira,
748,A Limia,Bergantiños,Meira,
749,A Limia,Terra De Soneira,Meira,
750,Meira,Terra De Soneira,A Limia,
751,A Limia,Terra De Soneira,Meira,
752,A Limia,Fisterra,Meira,
753,Meira,Fisterra,A Limia,
754,Meira,Terra De Soneira,A Limia,
755,Meira,O Salnés,A Limia,
756,A Limia,O Salnés,Meira,
757,Meira,O Salnés,A Limia,
758,Meira,Bergantiños,A Limia,
759,Meira,A Coruña,A Limia,
760,Meira,Ordes,A Limia,
761,A Limia,O Salnés,Meira,
762,Meira,O Salnés,A Limia,
763,A Limia,O Salnés,Meira,
764,Meira,O Salnés,A Limia,
765,Meira,Arzúa,A Limia,
766,A Limia,O Salnés,Meira,
767,Meira,O Salnés,A Limia,
768,Meira,Betanzos,A Limia,
769,A Limia,O Salnés,Meira,
770,A Limia,Arzúa,Meira,
771,A Limia,Betanzos,Meira,
772,A Limia,A Coruña,Meira,
773,A Limia,Bergantiños,Meira,
774,A Limia,Ordes,Meira,
775,A Limia,Terra De Soneira,Meira,
776,Meira,Terra De Soneira,A Limia,
777,A Limia,Terra De Soneira,Meira,
778,A Limia,Fisterra,Meira,
779,A Limia,Muros,Meira,
780,Meira,Muros,A Limia,
781,A Limia,Muros,Meira,
782,Meira,Muros,A Limia,
783,Meira,Fisterra,A Limia,
784,A Limia,Fisterra,Meira,
785,Meira,Fisterra,A Limia,
786,A Limia,Fisterra,Meira,
787,A Limia,Muros,Meira,
788,A Limia,Xallas,Meira,
789,A Limia,A Barcala,Meira,
790,A Limia,Santiago,Meira,
791,Meira,O Salnés,A Limia,
792,Meira,A Barcala,A Limia,
793,Meira,Muros,A Limia,
794,Meira,Fisterra,A Limia,
795,A Limia,A Barcala,Meira,
796,A Limia,Fisterra,Meira,
797,A Limia,Muros,Meira,
798,Meira,A Barcala,A Limia,
799,Meira,Muros,A Limia,
800,Meira,Fisterra,A Limia,
801,Meira,Terra De Soneira,A Limia,
802,A Limia,A Barcala,Meira,
803,A Limia,Terra De Soneira,Meira,
804,Meira,A Barcala,A Limia,
805,A Limia,A Barcala,Meira,
806,A Limia,Fisterra,Meira,
807,Meira,A Barcala,A Limia,
808,A Limia,A Barcala,Meira,
809,Meira,A Barcala,A Limia,
810,Meira,Fisterra,A Limia,
811,A Limia,A Barcala,Meira,
812,Meira,A Barcala,A Limia,
813,A Limia,A Barcala,Meira,
814,A Limia,Fisterra,Meira,
815,A Limia,Muros,Meira,
816,Meira,A Barcala,A Limia,
817,Meira,Muros,A Limia,
818,Meira,Fisterra,A Limia,
819,Meira,Terra De Soneira,A Limia,
820,Meira,Xallas,A Limia,
821,A Limia,O Salnés,Meira,
822,A Limia,A Barcala,Meira,
823,Meira,A Barcala,A Limia,
824,Meira,O Salnés,A Limia,
825,A Limia,O Salnés,Meira,
826,A Limia,A Barcala,Meira,
827,Meira,A Barcala,A Limia,
828,Meira,O Salnés,A Limia,
829,Meira,Bergantiños,A Limia,
830,Meira,A Coruña,A Limia,
831,Meira,Santiago,A Limia,
832,Meira,Ordes,A Limia,
833,Meira,Arzúa,A Limia,
834,Meira,Betanzos,A Limia,
835,A Limia,O Salnés,Meira,
836,A Limia,Arzúa,Meira,
837,Meira,O Salnés,A Limia,
838,A Limia,O Salnés,Meira,
839,A Limia,Betanzos,Meira,
840,Meira,O Salnés,A Limia,
841,Meira,Arzúa,A Limia,
842,A Limia,O Salnés,Meira,
843,Meira,O Salnés,A Limia,
844,A Limia,O Salnés,Meira,
845,Meira,O Salnés,A Limia,
846,Meira,Betanzos,A Limia,
847,Meira,Eume,A Limia,
848,A Limia,Eume,Meira,
849,Meira,Eume,A Limia,
850,A Limia,Eume,Meira,
851,A Limia,O Salnés,Meira,
852,Meira,O Salnés,A Limia,
853,Meira,Eume,A Limia,
854,A Limia,Eume,Meira,
855,A Limia,O Salnés,Meira,
856,A Limia,Arzúa,Meira,
857,A Limia,Betanzos,Meira,
858,Meira,O Salnés,A Limia,
859,A Limia,O Salnés,Meira,
860,Meira,O Salnés,A Limia,
861,A Limia,O Salnés,Meira,
862,Meira,O Salnés,A Limia,
863,A Limia,O Salnés,Meira,
864,A Limia,A Coruña,Meira,
865,Meira,A Coruña,A Limia,
866,A Limia,A Coruña,Meira,
867,A Limia,Bergantiños,Meira,
868,Meira,Bergantiños,A Limia,
869,Meira,A Coruña,A Limia,
870,Meira,O Salnés,A Limia,
871,Meira,Arzúa,A Limia,
872,Meira,Betanzos,A Limia,
873,A Limia,O Salnés,Meira,
874,Meira,O Salnés,A Limia,
875,A Limia,O Salnés,Meira,
876,Meira,O Salnés,A Limia,
877,A Limia,O Salnés,Meira,
878,Meira,O Salnés,A Limia,
879,A Limia,O Salnés,Meira,
880,Meira,O Salnés,A Limia,
881,A Limia,O Salnés,Meira,
882,Meira,O Salnés,A Limia,
883,A Limia,O Salnés,Meira,
884,A Limia,Arzúa,Meira,
885,Meira,O Salnés,A Limia,
886,Meira,Arzúa,A Limia,
887,Meira,Eume,A Limia,
888,A Limia,Eume,Meira,
889,Meira,Eume,A Limia,
890,Meira,Ferrol,A Limia,
891,Meira,Ortegal,A Limia,
892,Meira,A Mariña Occidental,A Limia,
893,Meira,A Mariña Central,A Limia,
894,Meira,A Mariña Oriental,A Limia,
895,Meira,Terra Chá,A Limia,
896,Meira,Meira,A Limia,
897,Meira,A Fonsagrada,A Limia,
898,Meira,Terra De Melide,A Limia,
899,A Limia,O Salnés,Meira,
900,Meira,O Salnés,A Limia,
901,A Limia,O Salnés,Meira,
902,Meira,O Salnés,A Limia,
903,Meira,Deza,A Limia,
904,Meira,A Ulloa,A Limia,
905,Meira,Lugo,A Limia,
906,A Limia,O Salnés,Meira,
907,A Limia,A Fonsagrada,Meira,
908,A Limia,A Mariña Oriental,Meira,
909,A Limia,A Mariña Central,Meira,
910,Meira,O Salnés,A Limia,
911,Meira,A Mariña Central,A Limia,
912,Meira,A Mariña Oriental,A Limia,
913,Meira,A Fonsagrada,A Limia,
914,A Limia,O Salnés,Meira,
915,A Limia,A Fonsagrada,Meira,
916,A Limia,A Mariña Oriental,Meira,
917,Meira,O Salnés,A Limia,
918,Meira,A Mariña Oriental,A Limia,
919,A Limia,O Salnés,Meira,
920,A Limia,A Mariña Oriental,Meira,
921,A Limia,A Mariña Central,Meira,
922,Meira,O Salnés,A Limia,
923,A Limia,O Salnés,Meira,
924,A Limia,Meira,Meira,
925,A Limia,A Mariña Occidental,Meira,
926,A Limia,Ortegal,Meira,
927,A Limia,Ferrol,Meira,
928,Meira,O Salnés,A Limia,
929,A Limia,O Salnés,Meira,
930,Meira,O Salnés,A Limia,
931,Meira,Ferrol,A Limia,
932,A Limia,Ferrol,Meira,
933,Meira,Ferrol,A Limia,
934,Meira,Ortegal,A Limia,
935,Meira,A Mariña Occidental,A Limia,
936,Meira,A Mariña Central,A Limia,
937,Meira,Meira,A Limia,
938,Meira,A Mariña Oriental,A Limia,
939,A Limia,O Salnés,Meira,
940,Meira,O Salnés,A Limia,
941,A Limia,O Salnés,Meira,
942,Meira,O Salnés,A Limia,
943,A Limia,O Salnés,Meira,
944,Meira,O Salnés,A Limia,
945,A Limia,O Salnés,Meira,
946,A Limia,A Mariña Oriental,Meira,
947,Meira,O Salnés,A Limia,
948,Meira,A Mariña Oriental,A Limia,
949,A Limia,O Salnés,Meira,
950,A Limia,A Mariña Oriental,Meira,
951,Meira,O Salnés,A Limia,
952,A Limia,O Salnés,Meira,
953,A Limia,A Mariña Central,Meira,
954,Meira,O Salnés,A Limia,
955,Meira,A Mariña Central,A Limia,
956,A Limia,O Salnés,Meira,
957,Meira,O Salnés,A Limia,
958,Meira,A Mariña Oriental,A Limia,
959,Meira,A Fonsagrada,A Limia,
960,Meira,Os Ancares,A Limia,
961,A Limia,O Salnés,Meira,
962,A Limia,Os Ancares,Meira,
963,A Limia,A Fonsagrada,Meira,
964,A Limia,A Mariña Oriental,Meira,
965,Meira,O Salnés,A Limia,
966,A Limia,O Salnés,Meira,
967,Meira,O Salnés,A Limia,
968,A Limia,O Salnés,Meira,
969,A Limia,A Mariña Central,Meira,
970,A Limia,Meira,Meira,
971,Meira,O Salnés,A Limia,
972,A Limia,O Salnés,Meira,
973,Meira,O Salnés,A Limia,
974,Meira,A Mariña Central,A Limia,
975,Meira,Meira,A Limia,
976,Meira,A Mariña Oriental,A Limia,
977,A Limia,O Salnés,Meira,
978,A Limia,A Mariña Oriental,Meira,
979,Meira,O Salnés,A Limia,
980,A Limia,O Salnés,Meira,
981,Meira,O Salnés,A Limia,
982,A Limia,O Salnés,Meira,
983,Meira,O Salnés,A Limia,
984,Meira,A Mariña Oriental,A Limia,
985,Meira,A Fonsagrada,A Limia,
986,Meira,Os Ancares,A Limia,
987,A Limia,O Salnés,Meira,
988,A Limia,Os Ancares,Meira,
989,Meira,O Salnés,A Limia,
990,A Limia,O Salnés,Meira,
991,Meira,O Salnés,A Limia,
992,A Limia,O Salnés,Meira,
993,Meira,O Salnés,A Limia,
994,Meira,Os Ancares,A Limia,
995,Meira,Sarria,A Limia,
996,A Limia,O Salnés,Meira,
997,A Limia,Sarria,Meira,
998,A Limia,Os Ancares,Meira,
999,A Limia,A Fonsagrada,Meira,
1000,Meira,O Salnés,A Limia,
1001,A Limia,O Salnés,Meira,
1002,A Limia,A Mariña Oriental,Meira,
1003,A Limia,A Mariña Central,Meira,
1004,A Limia,Meira,Meira,
1005,A Limia,A Mariña Occidental,Meira,
1006,Meira,O Salnés,A Limia,
1007,Meira,A Mariña Occidental,A Limia,
1008,A Limia,O Salnés,Meira,
1009,Meira,O Salnés,A Limia,
1010,A Limia,O Salnés,Meira,
1011,Meira,O Salnés,A Limia,
1012,Meira,A Mariña Central,A Limia,
1013,Meira,Meira,A Limia,
1014,Meira,A Mariña Oriental,A Limia,
1015,Meira,A Fonsagrada,A Limia,
1016,Meira,Os Ancares,A Limia,
1017,Meira,Sarria,A Limia,
1018,A Limia,O Salnés,Meira,
1019,Meira,O Salnés,A Limia,
1020,A Limia,O Salnés,Meira,
1021,Meira,O Salnés,A Limia,
1022,Meira,Chantada,A Limia,
1023,A Limia,O Salnés,Meira,
1024,Meira,O Salnés,A Limia,
1025,A Limia,O Salnés,Meira,
1026,A Limia,Sarria,Meira,
1027,A Limia,Os Ancares,Meira,
1028,Meira,O Salnés,A Limia,
1029,A Limia,O Salnés,Meira,
1030,A Limia,A Fonsagrada,Meira,
1031,Meira,O Salnés,A Limia,
1032,A Limia,O Salnés,Meira,
1033,A Limia,A Mariña Oriental,Meira,
1034,Meira,O Salnés,A Limia,
1035,A Limia,O Salnés,Meira,
1036,Meira,O Salnés,A Limia,
1037,A Limia,O Salnés,Meira,
1038,Meira,O Salnés,A Limia,
1039,A Limia,O Salnés,Meira,
1040,A Limia,A Mariña Central,Meira,
1041,A Limia,Meira,Meira,
1042,Meira,O Salnés,A Limia,
1043,Meira,A Mariña Central,A Limia,
1044,A Limia,O Salnés,Meira,
1045,A Limia,A Mariña Central,Meira,
1046,A Limia,A Mariña Occidental,Meira,
1047,A Limia,Ortegal,Meira,
1048,Meira,O Salnés,A Limia,
1049,A Limia,Ferrol,Meira,
1050,A Limia,O Salnés,Meira,
1051,Meira,O Salnés,A Limia,
1052,Meira,Ferrol,A Limia,
1053,A Limia,Ferrol,Meira,
1054,Meira,Ferrol,A Limia,
1055,Meira,Ortegal,A Limia,
1056,A Limia,O Salnés,Meira,
1057,Meira,O Salnés,A Limia,
1058,A Limia,O Salnés,Meira,
1059,Meira,O Salnés,A Limia,
1060,A Limia,O Salnés,Meira,
1061,Meira,O Salnés,A Limia,
1062,A Limia,O Salnés,Meira,
1063,Meira,O Salnés,A Limia,
1064,Meira,A Mariña Occidental,A Limia,
1065,Meira,A Mariña Central,A Limia,
1066,A Limia,O Salnés,Meira,
1067,Meira,O Salnés,A Limia,
1068,Meira,Meira,A Limia,
1069,A Limia,O Salnés,Meira,
1070,A Limia,A Mariña Central,Meira,
1071,Meira,O Salnés,A Limia,
1072,A Limia,O Salnés,Meira,
1073,A Limia,Meira,Meira,
1074,Meira,O Salnés,A Limia,
1075,Meira,A Mariña Central,A Limia,
1076,Meira,Meira,A Limia,
1077,Meira,A Mariña Oriental,A Limia,
1078,Meira,A Fonsagrada,A Limia,
1079,Meira,Os Ancares,A Limia,
1080,A Limia,O Salnés,Meira,
1081,Meira,O Salnés,A Limia,
1082,Meira,Sarria,A Limia,
1083,Meira,O Carballiño,A Limia,
1084,Meira,Pontevedra,A Limia,
1085,A Limia,Sarria,Meira,
1086,A Limia,Os Ancares,Meira,
1087,A Limia,A Fonsagrada,Meira,
1088,Meira,O Morrazo,A Limia,
1089,A Limia,A Mariña Oriental,Meira,
1090,Meira,A Mariña Oriental,A Limia,
1091,A Limia,A Mariña Oriental,Meira,
1092,Meira,A Mariña Oriental,A Limia,
1093,Meira,A Fonsagrada,A Limia,
1094,A Limia,A Fonsagrada,Meira,
1095,A Limia,A Mariña Oriental,Meira,
1096,A Limia,A Mariña Central,Meira,
1097,A Limia,Meira,Meira,
1098,A Limia,A Mariña Occidental,Meira,
1099,Meira,A Mariña Occidental,A Limia,
1100,Meira,A Mariña Central,A Limia,
1101,A Limia,A Mariña Central,Meira,
1102,Meira,A Mariña Central,A Limia,
1103,Meira,Meira,A Limia,
1104,Meira,A Mariña Oriental,A Limia,
1105,Meira,A Fonsagrada,A Limia,
1106,A Limia,A Fonsagrada,Meira,
1107,A Limia,A Mariña Oriental,Meira,
1108,Meira,A Mariña Oriental,A Limia,
1109,Meira,A Fonsagrada,A Limia,
1110,Meira,Os Ancares,A Limia,
1111,A Limia,Os Ancares,Meira,
1112,A Limia,A Fonsagrada,Meira,
1113,A Limia,A Mariña Oriental,Meira,
1114,Meira,A Mariña Oriental,A Limia,
1115,Meira,A Fonsagrada,A Limia,
1116,A Limia,A Fonsagrada,Meira,
1117,Meira,A Fonsagrada,A Limia,
1118,A Limia,A Fonsagrada,Meira,
1119,Meira,A Fonsagrada,A Limia,
1120,Meira,Os Ancares,A Limia,
1121,Meira,Sarria,A Limia,
1122,A Limia,Sarria,Meira,
1123,Meira,Sarria,A Limia,
1124,A Limia,Sarria,Meira,
1125,Meira,Sarria,A Limia,
1126,A Limia,Sarria,Meira,
1127,Meira,Sarria,A Limia,
1128,A Limia,Sarria,Meira,
1129,Meira,Sarria,A Limia,
1130,Meira,Terra De Lemos,A Limia,
1131,A Limia,Terra De Lemos,Meira,
1132,A Limia,Sarria,Meira,
1133,A Limia,Os Ancares,Meira,
1134,A Limia,A Fonsagrada,Meira,
1135,Meira,A Fonsagrada,A Limia,
1136,Meira,Os Ancares,A Limia,
1137,A Limia,Os Ancares,Meira,
1138,Meira,Os Ancares,A Limia,
1139,A Limia,Os Ancares,Meira,
1140,Meira,Os Ancares,A Limia,
1141,Meira,Sarria,A Limia,
1142,A Limia,Sarria,Meira,
1143,Meira,Sarria,A Limia,
1144,A Limia,Sarria,Meira,
1145,A Limia,Os Ancares,Meira,
1146,A Limia,A Fonsagrada,Meira,
1147,Meira,A Fonsagrada,A Limia,
1148,Meira,Os Ancares,A Limia,
1149,A Limia,Os Ancares,Meira,
1150,A Limia,A Fonsagrada,Meira,
1151,Meira,A Fonsagrada,A Limia,
1152,A Limia,A Fonsagrada,Meira,
1153,Meira,A Fonsagrada,A Limia,
1154,A Limia,A Fonsagrada,Meira,
1155,A Limia,A Mariña Oriental,Meira,
1156,A Limia,A Mariña Central,Meira,
1157,Meira,A Mariña Central,A Limia,
1158,Meira,A Mariña Oriental,A Limia,
1159,Meira,A Fonsagrada,A Limia,
1160,Meira,Os Ancares,A Limia,
1161,A Limia,Os Ancares,Meira,
1162,Meira,Os Ancares,A Limia,
1163,Meira,Sarria,A Limia,
1164,A Limia,Sarria,Meira,
1165,A Limia,Os Ancares,Meira,
1166,A Limia,A Fonsagrada,Meira,
1167,A Limia,A Mariña Oriental,Meira,
1168,Meira,A Mariña Oriental,A Limia,
1169,A Limia,A Mariña Oriental,Meira,
1170,Meira,A Mariña Oriental,A Limia,
1171,A Limia,A Mariña Oriental,Meira,
1172,Meira,A Mariña Oriental,A Limia,
1173,Meira,A Fonsagrada,A Limia,
1174,Meira,Os Ancares,A Limia,
1175,Meira,Sarria,A Limia,
1176,A Limia,Sarria,Meira,
1177,A Limia,Os Ancares,Meira,
1178,Meira,Os Ancares,A Limia,
1179,Meira,Sarria,A Limia,
1180,A Limia,Sarria,Meira,
1181,Meira,Sarria,A Limia,
1182,A Limia,Sarria,Meira,
1183,Meira,Sarria,A Limia,
1184,A Limia,Sarria,Meira,
1185,A Limia,Os Ancares,Meira,
1186,Meira,Os Ancares,A Limia,
1187,Meira,Sarria,A Limia,
1188,Meira,Terra De Lemos,A Limia,
1189,Meira,Quiroga,A Limia,
1190,Meira,Valdeorras,A Limia,
1191,A Limia,Valdeorras,Meira,
1192,A Limia,Terra De Lemos,Meira,
1193,A Limia,Quiroga,Meira,
1194,Meira,Terra De Lemos,A Limia,
1195,A Limia,Terra De Lemos,Meira,
1196,Meira,Terra De Lemos,A Limia,
1197,Meira,Quiroga,A Limia,
1198,Meira,Valdeorras,A Limia,
1199,Meira,Viana,A Limia,
1200,A Limia,Viana,Meira,
1201,Meira,Viana,A Limia,
1202,A Limia,Viana,Meira,
1203,A Limia,Valdeorras,Meira,
1204,A Limia,Terra De Lemos,Meira,
1205,A Limia,Quiroga,Meira,
1206,A Limia,Sarria,Meira,
1207,A Limia,Os Ancares,Meira,
1208,A Limia,A Fonsagrada,Meira,
1209,A Limia,A Mariña Oriental,Meira,
1210,A Limia,A Mariña Central,Meira,
1211,Meira,A Mariña Central,A Limia,
1212,Meira,A Mariña Oriental,A Limia,
1213,A Limia,A Mariña Oriental,Meira,
1214,A Limia,A Mariña Central,Meira,
1215,Meira,A Mariña Central,A Limia,
1216,A Limia,A Mariña Central,Meira,
1217,A Limia,Meira,Meira,
1218,Meira,A Mariña Central,A Limia,
1219,Meira,Meira,A Limia,
1220,Meira,A Mariña Oriental,A Limia,
1221,Meira,A Fonsagrada,A Limia,
1222,Meira,Os Ancares,A Limia,
1223,Meira,Sarria,A Limia,
1224,A Limia,Sarria,Meira,
1225,Meira,Sarria,A Limia,
1226,Meira,Terra De Lemos,A Limia,
1227,Meira,Quiroga,A Limia,
1228,Meira,Valdeorras,A Limia,
1229,Meira,Viana,A Limia,
1230,Meira,Terra De Trives,A Limia,
1231,Meira,Verín,A Limia,
1232,A Limia,Verín,Meira,
1233,Meira,Verín,A Limia,
1234,Meira,Terra De Caldelas,A Limia,
1235,A Limia,Verín,Meira,
1236,Meira,Verín,A Limia,
1237,A Limia,Verín,Meira,
1238,Meira,Verín,A Limia,
1239,Meira,Ourense,A Limia,
1240,Meira,Allariz-Maceda,A Limia,
1241,A Limia,Allariz-Maceda,Meira,
1242,A Limia,Verín,Meira,
1243,A Limia,Viana,Meira,
1244,Meira,Viana,A Limia,
1245,Meira,Verín,A Limia,
1246,A Limia,Verín,Meira,
1247,Meira,Verín,A Limia,
1248,A Limia,Verín,Meira,
1249,Meira,Verín,A Limia,
1250,Meira,Allariz-Maceda,A Limia,
1251,Meira,A Limia,A Limia,
1252,A Limia,A Limia,Meira,
1253,Meira,A Limia,A Limia,
1254,A Limia,A Limia,Meira,
1255,A Limia,Allariz-Maceda,Meira,
1256,Meira,Allariz-Maceda,A Limia,
1257,A Limia,Allariz-Maceda,Meira,
1258,A Limia,Verín,Meira,
1259,A Limia,Viana,Meira,
1260,Meira,Viana,A Limia,
1261,Meira,Verín,A Limia,
1262,A Limia,Verín,Meira,
1263,A Limia,Viana,Meira,
1264,Meira,Viana,A Limia,
1265,Meira,Verín,A Limia,
1266,Meira,Allariz-Maceda,A Limia,
1267,A Limia,Allariz-Maceda,Meira,
1268,A Limia,Verín,Meira,
1269,Meira,Verín,A Limia,
1270,Meira,Allariz-Maceda,A Limia,
1271,Meira,A Limia,A Limia,
1272,Meira,Baixa Limia,A Limia,
1273,Meira,Terra De Celanova,A Limia,
1274,Meira,O Ribeiro,A Limia,
1275,A Limia,O Ribeiro,Meira,
1276,Meira,O Ribeiro,A Limia,
1277,A Limia,O Ribeiro,Meira,
1278,A Limia,Terra De Celanova,Meira,
1279,A Limia,Baixa Limia,Meira,
1280,A Limia,A Limia,Meira,
1281,A Limia,Allariz-Maceda,Meira,
1282,Meira,Allariz-Maceda,A Limia,
1283,A Limia,Allariz-Maceda,Meira,
1284,A Limia,Verín,Meira,
1285,Meira,Verín,A Limia,
1286,A Limia,Verín,Meira,
1287,Meira,Verín,A Limia,
1288,Meira,Allariz-Maceda,A Limia,
1289,A Limia,Allariz-Maceda,Meira,
1290,A Limia,Verín,Meira,
1291,A Limia,Viana,Meira,
1292,A Limia,Valdeorras,Meira,
1293,A Limia,Terra De Trives,Meira,
1294,A Limia,Terra De Caldelas,Meira,
1295,A Limia,Quiroga,Meira,
1296,A Limia,Os Ancares,Meira,
1297,A Limia,A Fonsagrada,Meira,
1298,Meira,A Fonsagrada,A Limia,
1299,Meira,Os Ancares,A Limia,
1300,A Limia,Os Ancares,Meira,
1301,Meira,Os Ancares,A Limia,
1302,A Limia,Os Ancares,Meira,
1303,Meira,Os Ancares,A Limia,
1304,A Limia,Os Ancares,Meira,
1305,A Limia,A Fonsagrada,Meira,
1306,Meira,A Fonsagrada,A Limia,
1307,Meira,Os Ancares,A Limia,
1308,Meira,Quiroga,A Limia,
1309,Meira,Valdeorras,A Limia,
1310,Meira,Viana,A Limia,
1311,A Limia,Viana,Meira,
1312,A Limia,Valdeorras,Meira,
1313,A Limia,Quiroga,Meira,
1314,A Limia,Os Ancares,Meira,
1315,A Limia,A Fonsagrada,Meira,
1316,A Limia,A Mariña Oriental,Meira,
1317,A Limia,A Mariña Central,Meira,
1318,Meira,A Mariña Central,A Limia,
1319,A Limia,A Mariña Central,Meira,
1320,Meira,A Mariña Central,A Limia,
1321,Meira,A Mariña Oriental,A Limia,
1322,A Limia,A Mariña Oriental,Meira,
1323,A Limia,A Mariña Central,Meira,
1324,Meira,A Mariña Central,A Limia,
1325,A Limia,A Mariña Central,Meira,
1326,Meira,A Mariña Central,A Limia,
1327,A Limia,A Mariña Central,Meira,
1328,Meira,A Mariña Central,A Limia,
1329,A Limia,A Mariña Central,Meira,
1330,A Limia,Meira,Meira,
