Día,Atacante,Concello conquistado,Pertenecía a,Eliminado
291,Terra De Soneira,Deza,Terra De Trives,
292,O Salnés,O Carballiño,O Baixo Miño,
293,Terra De Trives,Deza,Terra De Soneira,
294,Meira,Deza,Terra De Trives,
295,Terra De Soneira,Arzúa,Ferrol,
296,Terra De Soneira,Deza,Meira,
297,A Limia,Chantada,Terra De Trives,
298,O Baixo Miño,O Carballiño,O Salnés,
299,O Salnés,O Carballiño,O Baixo Miño,
300,A Limia,Sarria,Terra De Trives,
301,O Salnés,Deza,Terra De Soneira,
302,Ferrol,Arzúa,Terra De Soneira,
303,O Salnés,Arzúa,Ferrol,
304,O Salnés,Betanzos,Ferrol,
305,Terra De Trives,A Fonsagrada,Meira,
306,Ferrol,Betanzos,O Salnés,
307,O Salnés,Betanzos,Ferrol,
308,O Baixo Miño,O Carballiño,O Salnés,
309,O Salnés,O Carballiño,O Baixo Miño,
310,Meira,Betanzos,O Salnés,
311,A Limia,Os Ancares,Terra De Trives,
312,Terra De Soneira,Arzúa,O Salnés,
313,O Salnés,Arzúa,Terra De Soneira,
314,O Salnés,Ordes,Ferrol,
315,O Baixo Miño,O Carballiño,O Salnés,
316,O Baixo Miño,Deza,O Salnés,
317,O Salnés,A Coruña,Ferrol,
318,Meira,A Fonsagrada,Terra De Trives,Terra De Trives
319,O Baixo Miño,Arzúa,O Salnés,
320,O Baixo Miño,Ordes,O Salnés,
321,Ferrol,A Coruña,O Salnés,
322,Ferrol,Ordes,O Baixo Miño,
323,Terra De Soneira,Arzúa,O Baixo Miño,
324,Meira,Arzúa,Terra De Soneira,
325,Terra De Soneira,Deza,O Baixo Miño,
326,Terra De Soneira,O Carballiño,O Baixo Miño,
327,Meira,A Coruña,Ferrol,
328,A Limia,O Carballiño,Terra De Soneira,
329,Ferrol,A Coruña,Meira,
330,Meira,Deza,Terra De Soneira,
331,Terra De Soneira,Ordes,Ferrol,
332,Meira,A Coruña,Ferrol,
333,O Baixo Miño,O Carballiño,A Limia,
334,Terra De Soneira,Bergantiños,Ferrol,Ferrol
335,Terra De Soneira,A Coruña,Meira,
336,O Baixo Miño,Deza,Meira,
337,Meira,Deza,O Baixo Miño,
338,A Limia,O Carballiño,O Baixo Miño,
339,O Salnés,O Carballiño,A Limia,
340,O Baixo Miño,O Carballiño,O Salnés,
341,A Limia,O Carballiño,O Baixo Miño,
342,A Limia,O Ribeiro,O Baixo Miño,
343,O Salnés,O Carballiño,A Limia,
344,O Baixo Miño,O Ribeiro,A Limia,
345,O Baixo Miño,O Carballiño,O Salnés,
346,Terra De Soneira,Barbanza,O Salnés,
347,A Limia,O Carballiño,O Baixo Miño,
348,O Salnés,Barbanza,Terra De Soneira,
349,O Salnés,O Carballiño,A Limia,
350,O Baixo Miño,O Carballiño,O Salnés,
351,Meira,O Carballiño,O Baixo Miño,
352,O Baixo Miño,O Carballiño,Meira,
353,Meira,O Carballiño,O Baixo Miño,
354,Terra De Soneira,Barbanza,O Salnés,
355,O Baixo Miño,O Carballiño,Meira,
356,O Salnés,Barbanza,Terra De Soneira,
357,A Limia,O Carballiño,O Baixo Miño,
358,O Salnés,O Carballiño,A Limia,
359,A Limia,O Carballiño,O Salnés,
360,O Baixo Miño,O Carballiño,A Limia,
361,O Baixo Miño,Deza,Meira,
362,A Limia,Deza,O Baixo Miño,
363,O Salnés,O Carballiño,O Baixo Miño,
364,A Limia,Arzúa,Meira,
365,A Limia,A Ulloa,Meira,
366,Meira,Arzúa,A Limia,
367,Meira,A Coruña,Terra De Soneira,
368,Meira,Deza,A Limia,
369,O Baixo Miño,O Carballiño,O Salnés,
370,Terra De Soneira,A Coruña,Meira,
371,A Limia,O Carballiño,O Baixo Miño,
372,O Salnés,O Carballiño,A Limia,
373,O Salnés,Deza,Meira,
374,O Baixo Miño,O Carballiño,O Salnés,
375,O Baixo Miño,Deza,O Salnés,
376,O Salnés,Deza,O Baixo Miño,
377,O Baixo Miño,Deza,O Salnés,
378,A Limia,Deza,O Baixo Miño,
379,O Baixo Miño,Deza,A Limia,
